idx,question_id,heuristic_label,model_label,confidence,correct_label,title,content_preview
4673,psy525_105811,1.9,1.3,0.134,,感觉自己太痛苦,"我跟老公结婚4年,有一个2岁宝宝。自从结婚我就没有开心过,总觉得老公跟我不是一条路。就像拔河一样,他往西我往东。我想把他拽到东边来,死活拽不过来。我很痛苦,很痛"
7124,psy525_108857,1.8,2.1,0.145,,宝宝三岁现在经常歪嘴巴,"宝宝三岁,现在在托班,比较内向,在托班的时候有时候感觉尴尬就会歪这嘴巴,现在次数越来越多,不知道怎么开导她,在家里都很少会这样的"
2745,psy525_103579,1.13,2.1,0.139,,过于敏感又过于心软敏感的人爱胡思乱想心软的人爱自讨苦吃。,"想活出自己珍惜拥有的可是,我该怎么去做"
7889,psy525_109690,1.12,1.17,0.172,,需要专家的帮助,"老师,如何提高自我认知能力?"
3565,psy525_104545,2.4,2.1,0.141,,男友脚踏几条船,"和男友分手了!他在去年就没跟他前任分彻底,就跟我在一起,我们在一起时他告诉我他们已经分手了,只是朋友,我的宽容和大度都没用,怎么跟他沟通,说我介意,他还是没有说"
7887,psy525_109688,2.9,1.2,0.149,,心里很痛苦,"前段时间单位给我调岗,新岗位的同事和领导很不友好,总是排挤和刁难我,我每天总是疲于迎合她们,很心累所以下班后才做点自己喜欢的事,回家有点晚,可我父母却跟单位请假"
5360,psy525_106555,3.2,1.17,0.187,,一次恶心的同性行为,"有过一次恶心同性行为,觉的自己非常肮脏,不想见人,严重影响工作,生活,有点想自杀的冲动,希望您能帮帮我!"
7068,psy525_108796,1.16,1.1,0.136,,儿子被人怀疑偷钱,"儿子被人怀疑偷钱,学校现在在暗中调查,怎么解决"
2370,psy525_103142,1.9,1.9,0.262,,"我快要结婚了跟我女友相爱六年从大学到现在,可是我在网上遇到一个我更喜欢的女孩她对我也很好我该怎么办",我该怎么做我很迷茫不知道该怎么办
4751,psy525_105901,1.8,1.3,0.148,,哥哥无故失联,"哥哥今天下午出门后失联,一开始电话打不通,后来打通了一直不接,所有信息不回,直到爸爸说要报警才说明天回别担心,然后又不回复了,爸爸每个月有给他钱,他说朋友用了他"
5885,psy525_107214,1.6,1.1,0.126,,心里烦躁想发泄,一般都是6点半起不来今天凌晨3点就睡不着了上课总感觉烦躁脸还很红怎么回事
6947,psy525_108661,1.17,1.17,0.253,,总怀疑医生没有很好的给我治疗牙乔正牙,"牙子不整齐,不舒服,乔正过程中还是觉得不舒服"
368,psy525_10510,2.7,2.7,0.128,,"整个家庭一直是岳母操持,岳父从来对儿女感情疏远,话语很少,性格固执孤僻!一直以来没有朋友,也没有兴趣","整个家庭一直是岳母操持,岳父从来对儿女感情疏远,话语很少,性格固执孤僻!一直以来没有朋友,也没有兴趣爱好,亲戚之间也几乎没有走动。儿女多次对于身体病痛多次去医院"
5357,psy525_106552,2.3,2.2,0.127,,怀疑自己有人格缺陷,"本人认为不相信亲情、友情、爱情对生活并没有过大影响,但母亲却做出极大地反对态度(母亲是大专学历)。对此本人极其的不解,导致本人最近经常出现极大的情绪波动,甚是困"
1180,psy525_11408,2.7,1.9,0.131,,"男友出轨后,如何再接受他","男友前女友给他打过一个孩子,两人分手后一直有联系。他俩分手后不久认识了我,那个女的知道我以后开始挽回他,两人纠缠了一段时间,我放不下,也一直等他。现在男朋友已经"
6836,psy525_108527,3.4,1.17,0.137,,最近烦得慌,"在学校里有时候想打人,上课有时候因为太烦听不见,很累"
4531,psy525_105653,3.2,2.1,0.338,,特别想自杀,"想自杀,有自残倾向,也会攻击身边的人,我很痛苦,想自我了结,不想拖累家人"
8103,psy525_109928,1.1,1.1,0.150,,"我觉得自己是性格神经症患者,如果接受心理治疗,会从哪些点开始","我觉得自己是性格神经症患者,具体举几个部分,本人为刚毕业大学生对于自己的以后的职业和从事的领域无法抉择具体原因和“我们时代的神经症人格”如出一辙(我也不确定是不"
1774,psy525_102358,1.7,1.17,0.132,,不知道该怎么处理婚姻问题,"现在我这样很累,不知道怎么办,希望你们能帮帮我"
1055,psy525_11267,1.11,1.17,0.136,,我实在放不下,"我喜欢一个女孩子,非常喜欢,我们有过两个星期的接触,她对我很好,可后来真心的伤了我,我很伤心,原来她一直在玩我,来满足她,根本不在乎我,现在的我整天浑浑噩噩的,"
8032,psy525_109847,1.12,1.17,0.136,,缺爱好难受啊!,"我太缺爱了,不自信,怎么办呢?"
1265,psy525_11504,1.7,1.8,0.139,,"希望和相亲对象相处下去,却排斥肢体接触","本人29剩女,和相亲对象相亲一个月,见过4次,感觉条件和人都还好,想继续相处,出于各方压力是想快些嫁出去。但看着他的样子却一直没有感觉,并且非常排斥肢体接触,特"
6882,psy525_108588,1.7,2.7,0.124,,"丢三落四,记忆力不好,易怒,做事着急,脾气大","我该怎么办,我觉得我压力来源就是因为这些毛病"
7996,psy525_109806,1.12,1.17,0.138,,"我媳妇做微商,我受不了","我媳妇做微商,我不同意,个人认为微商是变相的传销,我讲理说请,软话狠话都说,就是劝不住,之前无论对错,我媳妇我在乎我的感受,为什么一接触微商,就什么不管了……我"
